,Filename,fn1,f0,fs,iferror,ifmethod,rho,p,r,g,arfunc,automodel,dq,pq,nramp,causality,f0.1,ifquality,ifwinsize,OQ1,OQ2,NAQ,AQ,ClQ,OQa,QOQ,SQ1,SQ2,DH12,PSP,HRF,Unnamed: 31
36,40.mat,40,203.52565887138385,16000,0.6133455669723641,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,203.52565887138385,,3.2299375,0.57876773037687,0.52628181667797,0.059500678431254,0.0009041083545880001,0.24524064014292002,0.19009675756388397,0.326922589786733,1.366067239296614,1.112774869695347,-1.6954609943317682,0.165547157006276,1.7073501397145547,
37,41.mat,41,700.9818239324719,16000,1.012719020014653,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,700.9818239324719,,3.3949375,0.565697382573516,0.512774335989481,0.12063649028281899,0.001971427530017,0.26171409759419895,0.33556216703638503,0.31535427855740006,1.299526565816209,1.0224806108397901,6.8964151740247095,0.18885232786741,3.557954952395247,
38,42.mat,42,195.4137098522939,16000,0.870526974858585,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,195.4137098522939,,3.0899375,0.6601165458585029,0.5644973655769471,0.106228999300446,0.0016561731391689998,0.25158869755674,0.28897592447877196,0.33485354859329197,1.409172657893287,1.0885658841000592,20.42948157688361,0.191787652330586,5.345854272909982,
39,43.mat,43,220.7483141695044,16000,1.8092661035028181,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,220.7483141695044,,4.3499375,0.584324413479389,0.534194675715739,0.099172955460444,0.00150554801744,0.243268252180309,0.28503426218725103,0.32624981911567796,1.382112555068368,1.16098085119625,3.980539858941036,0.161887790711462,-0.8862302460524041,
40,44.mat,44,226.68819755376893,16000,2.063622483595931,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,226.68819755376893,,3.405,0.586553386968228,0.535644821424071,0.091201328698959,0.0013809971975329999,0.246372170062148,0.26283836944558,0.327775893272802,1.42026517386821,1.173861071772292,14.77743033193748,0.179805052577557,1.4773639421373341,
41,45.mat,45,193.22445215193864,16000,9.242776483240224,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,193.22445215193864,,6.3649375,,,,,,,,,,32.89427924175432,,-9.514827803904668,
42,46.mat,46,187.93858382632828,16000,8.088295734887216,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,187.93858382632828,,5.28,0.5773769301253089,0.513104843206,0.132760579384849,0.002104617230658,0.252925868320927,0.3424392012946811,0.34554080889244804,1.494843001878981,1.056905549023134,4.339084239007492,0.26360220480415303,3.418912391584413,
43,47.mat,47,98.53007177390323,16000,1.212444530951724,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,98.53007177390323,,3.4099375,0.571036823955077,0.5183467300169601,0.066831100766678,0.001033429137587,0.255512530265795,0.19385214648841298,0.326294247269392,1.242293847781676,0.965745144619008,22.462061075957465,0.15903153660198002,5.0315127364707335,
44,48.mat,48,190.9644253476399,16000,1.515937465284265,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,190.9644253476399,,3.1749375,0.557939425943337,0.50769326917148,0.10268292174834401,0.00163500381715,0.24097450658537697,0.29525576764235495,0.309894728393896,1.3398234231327029,1.107006337837905,25.221934147181354,0.186667611331421,4.659641055982048,
45,49.mat,49,61.09284697216806,16000,2.3923846301540097,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,61.09284697216806,,3.1699375,0.535980267930801,0.485261001778328,0.11144971356589099,0.00184407480194,0.224335642528553,0.30364559572173605,0.30780709083352803,1.39035431271773,1.164124925481592,8.825154254487751,0.156745110033344,0.571923416595885,
46,5.mat,5,172.3759531437256,16000,2.7161000100579797,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,172.3759531437256,,2.5999375,0.5583356117796391,0.506547739514739,0.125352307129747,0.002116127425898,0.271875473840704,0.330642031322355,0.31126598728872695,1.046122043771208,0.862974509820333,1.127422053312273,0.159977998293647,0.179523074765375,
47,50.mat,50,193.49663406901,16000,2.060404051574249,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,193.49663406901,,2.9149375,0.563695648000182,0.513908727880572,0.10742895516746001,0.00168960199544,0.231755636257005,0.29818612702413105,0.325375658248861,1.5173694195513099,1.274631825636688,12.758168669043775,0.19732297584821398,-0.482987180369439,
48,51.mat,51,64.74039203974625,16000,3.418814931449525,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,64.74039203974625,,3.3349375,0.596106708883776,0.5466265254722079,0.15285537123040302,0.00237232991279,0.25393454517131797,0.380402274808049,0.37313860096100704,1.325362528717436,1.1283530777916422,15.730714173076034,0.17156484010565304,-1.9757179013603499,
49,52.mat,52,189.03351718554256,16000,1.4425574941512758,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,189.03351718554256,,3.1849375,0.55375269767323,0.504024568089863,0.076073235896093,0.001213622221559,0.154571718740553,0.24392776148049,0.24526064095808,2.253218268175554,1.9202085239461282,37.78935486914687,0.48586036420654,1.3290350985568478,
50,53.mat,53,189.33917947064398,16000,8.800404504296608,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,189.33917947064398,,5.095,,,,,,,,,,6.926740648665621,,-5.8254523556411435,
51,54.mat,54,611.5746526745712,16000,3.7737393538153703,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,611.5746526745712,,3.2699375,0.5751434697721459,0.524784627372742,0.11148147745991198,0.001718549652244,0.24492934709086198,0.314649633324904,0.33219500101885696,1.3487957561090809,1.143508593385432,7.7406383456200745,0.141376356970317,-1.717094415950549,
52,55.mat,55,196.66468669372009,16000,2.067565998471538,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,196.66468669372009,,3.2449375,0.555968484283404,0.5059650373592449,0.09274960730403699,0.001476502846596,0.22678114869124102,0.28450158400627,0.312232459723514,1.433919278636139,1.221909271086747,11.714295789198413,0.171241031675115,1.1950748169024479,
53,56.mat,56,63.597365408725096,16000,1.7631333977626542,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,63.597365408725096,,3.5799375,0.557488958183405,0.508141308186677,0.088286286297689,0.001398248082224,0.23739396172681398,0.26227694098837395,0.31805676175087605,1.349147588382919,1.124628363702135,8.86046205855984,0.19140990900959,0.22552599570012,
54,57.mat,57,198.6503262729904,16000,2.049863418874222,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,198.6503262729904,,3.0999375,0.570288027746542,0.520639144373875,0.098590920263828,0.001532293513603,0.241311572395492,0.27783469414889694,0.32402164820686896,1.366719634416117,1.143225964893084,17.31340118519465,0.140863034149031,-0.904978799354616,
55,58.mat,58,59.8987726038086,16000,0.481321207632577,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,59.8987726038086,,5.8299375,0.6092260145570849,0.530622060206903,0.153820811343485,0.002625556896776,0.290726127639535,0.405071502751969,0.339511751709219,1.06159967182494,0.834644961470701,8.323351166385677,0.16908318283619697,-4.1863856369794705,
56,59.mat,59,201.13893939967102,16000,1.5540351154196417,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,201.13893939967102,,2.8049375,,,,,,,,,,27.56691714524117,,-3.056495939520658,
57,6.mat,6,937.6856866317805,16000,3.385890126075345,qcp,0.99,10,10,2,dap,0,0.7,0.1,7,causal,937.6856866317805,,2.3949375,0.9702222694313342,0.9018920812024092,0.203976817750757,0.003388370940057,0.43798837713468997,0.5300963647099051,0.5271808467068541,1.1778844991377782,1.019773689323136,26.20152136720219,0.37702137503808403,-4.76216810456665,
